month_year,chemical_name,iso,price_units,value_units,mass_units,mass_import,mass_export,mass_total,fraction_import,value_import,value_export,value_total,price_total,trade_balance,price_premium,price_transport,price_adjusted,year,month
2024-01,potassium chloride,TUR,$/tonne,$,tonne,5397.222,695.834,6093.056,0.8857988503634301,1755554.0,285090.0,2040644.0,334.9130551237343,balanced,33.49130551237343,15.0,383.40436063610775,2024,1
2024-01,potassium chloride,USA,$/tonne,$,tonne,951960.0,221113.0,1173073.0,0.8115095991468562,278779072.99999994,57832478.99999999,336611551.99999994,286.94851215567996,balanced,28.694851215567997,15.0,330.643363371248,2024,1
2024-01,potassium sulphate,CAN,$/tonne,$,tonne,444.57599999999996,2196.0,2640.576,0.16836326619646622,422271.308,2212183.7760000005,2634455.0840000007,997.6819769626023,balanced,99.76819769626024,15.0,1112.4501746588626,2024,1
2024-01,potassium sulphate,DEU,$/tonne,$,tonne,700.341,0.0,700.341,1.0,435553.325,0.0,435553.325,621.9160737412203,import,62.191607374122036,15.0,699.1076811153423,2024,1
2024-01,potassium sulphate,FRA,$/tonne,$,tonne,8401.428,87.613,8489.041,0.9896792817940213,4322039.212000001,31661.972999999998,4353701.185000001,512.8613685574144,import,51.28613685574144,15.0,579.1475054131558,2024,1
2024-01,potassium sulphate,GBR,$/tonne,$,tonne,220.95200000000003,245.96,466.91200000000003,0.47321979302309647,235962.08500000002,62159.379,298121.46400000004,638.4960420807347,balanced,63.84960420807347,15.0,717.3456462888082,2024,1
2024-01,potassium sulphate,IND,$/tonne,$,tonne,1463.031,27.059,1490.09,0.9818406941862572,786727.3350000001,24821.958,811549.2930000001,544.6310578555658,import,54.463105785556586,15.0,614.0941636411223,2024,1
2024-01,potassium sulphate,SWE,$/tonne,$,tonne,28.0,10206.0,10234.0,0.0027359781121751026,19908.794,4386216.532999999,4406125.326999999,430.53794479187013,export,43.05379447918702,15.0,488.5917392710571,2024,1
2024-01,potassium sulphate,TUR,$/tonne,$,tonne,407.45,1661.991,2069.441,0.19688891831175667,273510.0,1072180.0,1345690.0,650.2673910490805,balanced,65.02673910490806,15.0,730.2941301539886,2024,1
2024-01,potassium sulphate,USA,$/tonne,$,tonne,9794.0,2647.0,12441.0,0.7872357527529942,5782996.0,1999013.0,7782009.0,625.5131420303834,balanced,62.551314203038345,15.0,703.0644562334218,2024,1
2024-01,sodium_hydroxide,CAN,$/tonne,$,tonne,2170.322,0.0,2170.322,1.0,676169.7039999998,0.0,676169.7039999998,311.55271153312725,import,31.155271153312725,15.0,357.70798268644,2024,1
2024-01,sodium_hydroxide,DEU,$/tonne,$,tonne,1649.627082,0.0,1649.627082,1.0,1725167.481,0.0,1725167.481,1045.7924095841195,import,104.57924095841196,15.0,1165.3716505425314,2024,1
2024-01,sodium_hydroxide,FRA,$/tonne,$,tonne,735.794446,3099.935155,3835.729601,0.19182646394265476,698652.825,2712635.2079999996,3411288.033,889.3452844305434,balanced,88.93452844305435,15.0,993.2798128735977,2024,1
2024-01,sodium_hydroxide,GBR,$/tonne,$,tonne,671.309,0.0,671.309,1.0,635589.834,0.0,635589.834,946.7917665337424,import,94.67917665337424,15.0,1056.4709431871165,2024,1
2024-01,sodium_hydroxide,IND,$/tonne,$,tonne,480.318722,25661.757677999998,26142.076399999998,0.01837339600155097,214178.644,11876910.934999999,12091089.578999998,462.5145070343379,export,46.25145070343379,15.0,523.7659577377717,2024,1
